Fecha,Termo,Eólica,Hidroeléctrica
Ene/2002,9757961.329,582.635,2183848.927
Feb/2002,9044318.673,601.496,1922475.11
Mar/2002,10433451.98,448.123,1914075.605
Abr/2002,10696194.512,587.957,2156231.676
May/2002,11817046.84,606.737,2085670.015
Jun/2002,11891230.941,340.147,2054125.228
Jul/2002,11990218.751,767.197,1963503.088
Ago/2002,12188395.278,834.521,2236832.52
Sep/2002,11217285.506,206.22,2251507.894
Oct/2002,10805570.569,523.091,2902888.147
Nov/2002,9956218.37,514.317,2085055.42
Dic/2002,10520559.66,654.148,1706431.063
Ene/2003,10319943.46,699.97,1658919.592
Feb/2003,9856740.388,510.339,1312057.705
Mar/2003,11587632.83,346.673,1243926.667
Abr/2003,10892124.746,395.03,1347850.836
May/2003,12643112.872,397.977,1842041.532
Jun/2003,13007922.55,155.544,942550.23
Jul/2003,12547098.14,522.353,1518533.545
Ago/2003,12345944.03,621.051,1664533.643
Sep/2003,10423146.884,188.309,3034577.259
Oct/2003,10287002.694,351.521,2921663.138
Nov/2003,10643695.338,559.109,1636277.787
Dic/2003,10959605.893,626.083,1197360.196
Ene/2004,10839910.817,573.7,1093400.384
Feb/2004,10150549.182,412.006,1003845.111
Mar/2004,11513554.878,742.319,1810396.669
Abr/2004,11089711.121,411.224,2163580.452
May/2004,12151522.155,553.585,2684172.078
Jun/2004,12329563.575,486.786,2711745.372
Jul/2004,12669354.061,497.887,2692575.162
Ago/2004,13027174.926,583.343,2586607.523
Sep/2004,12138105.32,395.494,2548666.365
Oct/2004,12027667.176,384.402,2846723.69
Nov/2004,11181273.009,537.834,1953276.402
Dic/2004,11248682.825,568.144,1732829.121
Ene/2005,11262241.37,574.4,1442478.419
Feb/2005,10344027,439.63,1520130.689
Mar/2005,11449535.85,324.11,1525301.059
Abr/2005,11435919.23,581.31,2140754.729
May/2005,12360247.49,417.21,2108019.069
Jun/2005,13179390.14,364.68,2066196.589
Jul/2005,12607637.63,346.46,2711542.509
Ago/2005,12119534.81,368.19,3563151.739
Sep/2005,11728927.35,462.99,3319844.949
Oct/2005,11109236.36,408.58,3351684.589
Nov/2005,10520211.61,415.35,2382695.389
Dic/2005,10666658.79,296.45,2237538.999
Ene/2006,11194787.639,382.5,2150106.539
Feb/2006,10331146.014,359.2,1983787.199
Mar/2006,11554269.977,369.81,2750694.709
Abr/2006,11553232.468,285.81,2428984.919
May/2006,13047650.933,196.04,2892595.389
Jun/2006,13247666.96,354.77,2678905.249
Jul/2006,13513464.355,383.34,2625195.219
Ago/2006,12873310.307,308.01,3244833.169
Sep/2006,11683510.427,1115.96,3374832.299
Oct/2006,12539297.624,2588.91,2527125.619
Nov/2006,11334758.461,14731.59,2357534.349
Dic/2006,10982741.401,23726.89,2048203.239
Ene/2007,11451437.275,15609.79,2076861.889
Feb/2007,10371973.585,19315.41,2077876.309
Mar/2007,12935685.833,26599.85,2558870.839
Abr/2007,11964595.767,21966.07,2164955.149
May/2007,14051223.812,19991.59,2009425.789
Jun/2007,14328257.209,12833.73,1943969.289
Jul/2007,14190884.57,9866.66,2325561.759
Ago/2007,13720423.85,16433.18,2949713.259
Sep/2007,12532211.304,21884.45,3298662.699
Oct/2007,13476921.315,15755.52,2740465.629
Nov/2007,12764570.948,37273.54,1800033.309
Dic/2007,12547542.249,30902.59,1853704.799
Ene/2008,13135008.414,22604.15,1590425.779
Feb/2008,13135487.603,21000.59,1627483.049
Mar/2008,13390664.68,20757.23,2512618.029
Abr/2008,13216449.09,15574.97,3490266.629
May/2008,13888762.106,13789.08,3519298.999
Jun/2008,14573900.497,20579.64,3003477.359
Jul/2008,13251896.693,19907.62,4058523.109
Ago/2008,12791830.271,11405.63,5075519.999
Sep/2008,11114698.919,20609.4,5596665.349
Oct/2008,12215186.172,37711.46,4070983.869
Nov/2008,11437597.648,21700.1,2866711.781
Dic/2008,11265976.779,28973.44,2241727.619
Ene/2009,11537904.14,28154.44,2108799.509
Feb/2009,10489660.83,20786,2423705.979
Mar/2009,12143304.36,25716.74,2706664.929
Abr/2009,12691711.24,13510.09,2744049.939
May/2009,14310665.96,13419.05,2472484.889
